["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9477568919088541e+14 1.0965160388535924e-02 6.0645474159109689e+00
1.9479770982891656e+14 1.1077913201269159e-02 6.1066858748098056e+00
1.9481973046694769e+14 1.1187168048353405e-02 6.1485751367595771e+00
1.9484175110497884e+14 1.1292837620298321e-02 6.1902293395703225e+00
1.9486377174300997e+14 1.1394839797348684e-02 6.2316619241682307e+00
1.9488579238104112e+14 1.1493097494529963e-02 6.2728856819780923e+00
1.9490781301907225e+14 1.1587538520142337e-02 6.3139127993909785e+00
1.9492983365710341e+14 1.1678095446441472e-02 6.3547548994688219e+00
1.9495185429513456e+14 1.1764705491381769e-02 6.3954230810380999e+00
1.9497387493316569e+14 1.1847310410367535e-02 6.4359279553298556e+00
1.9499589557119684e+14 1.1925856397054471e-02 6.4762796803178571e+00
1.9501791620922797e+14 1.2000293992333783e-02 6.5164879929054242e+00
1.9503993684725912e+14 1.2070578000707457e-02 6.5565622391051459e+00
1.9506195748529025e+14 1.2136667413322503e-02 6.5965114023503437e+00
1.9508397812332141e+14 1.2198525337005954e-02 6.6363441300711328e+00
1.9510599876135253e+14 1.2256118928695731e-02 6.6760687586605867e+00
1.9512801939938369e+14 1.2309419334723171e-02 6.7156933369521647e+00
1.9515004003741481e+14 1.2358401634444046e-02 6.7552256483182660e+00
1.9517206067544597e+14 1.2403044787749678e-02 6.7946732314976179e+00
1.9519408131347712e+14 1.2443331586064020e-02 6.8340434002511081e+00
1.9521610195150825e+14 1.2479248606420936e-02 6.8733432619391177e+00
1.9523812258953941e+14 1.2510786168292138e-02 6.9125797351089586e+00
1.9526014322757053e+14 1.2537938292843593e-02 6.9517595661724467e+00
1.9528216386560169e+14 1.2560702664326864e-02 6.9908893452534109e+00
1.9530418450363281e+14 1.2579080593337519e-02 7.0299755212744932e+00
1.9532620514166397e+14 1.2593076981721209e-02 7.0690244163524500e+00
1.9534822577969509e+14 1.2602700288870962e-02 7.1080422395642158e+00
1.9537024641772625e+14 1.2607962499245347e-02 7.1470351001426229e+00
1.9539226705575738e+14 1.2608879090906740e-02 7.1860090201576252e+00
1.9541428769378853e+14 1.2605469004916658e-02 7.2249699467338004e+00
1.9543630833181969e+14 1.2597754615435048e-02 7.2639237638545637e+00
1.9545832896985081e+14 1.2585761700381424e-02 7.3028763037959337e+00
1.9548034960788197e+14 1.2569519412540186e-02 7.3418333582353199e+00
1.9550237024591309e+14 1.2549060250987228e-02 7.3808006890720073e+00
1.9552439088394425e+14 1.2524420032729725e-02 7.4197840390008487e+00
1.9554641152197538e+14 1.2495637864492787e-02 7.4587891418702732e+00
1.9556843216000653e+14 1.2462756114532391e-02 7.4978217328600181e+00
1.9559045279803766e+14 1.2425820384432967e-02 7.5368875585078188e+00
1.9561247343606881e+14 1.2384879480809066e-02 7.5759923866151011e+00
1.9563449407409994e+14 1.2339985386863454e-02 7.6151420160552519e+00
1.9565651471213109e+14 1.2291193233739133e-02 7.6543422865133808e+00
1.9567853535016222e+14 1.2238561271650452e-02 7.6935990881740528e+00
1.9570055598819338e+14 1.2182150840733498e-02 7.7329183713830822e+00
1.9572257662622453e+14 1.2122026341600900e-02 7.7723061562968700e+00
1.9574459726425566e+14 1.2058255205592620e-02 7.8117685425372825e+00
1.9576661790228681e+14 1.1990907864684231e-02 7.8513117188647357e+00
1.9578863854031794e+14 1.1920057721069504e-02 7.8909419728790855e+00
1.9581065917834909e+14 1.1845781116396536e-02 7.9306657007585502e+00
1.9583267981638022e+14 1.1768157300668571e-02 7.9704894170372320e+00
1.9585470045441138e+14 1.1687268400821920e-02 8.0104197644255546e+00
1.9587672109244250e+14 1.1603199388967183e-02 8.0504635236691673e+00
1.9589874173047366e+14 1.1516038050337903e-02 8.0906276234384613e+00
1.9592076236850478e+14 1.1425874950938657e-02 8.1309191502369256e+00
1.9594278300653594e+14 1.1332803404908958e-02 8.1713453583094253e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(200, 3)
1.9156067603833869e+14 6.1383945933614235e-03 5.7600409233838878e-01
1.9158269667636984e+14 5.9834927054794812e-03 6.4475114741643191e-01
1.9160471731440097e+14 5.8320720067207427e-03 7.1415317753811736e-01
1.9162673795243212e+14 5.6842500914572594e-03 7.8422877852749173e-01
1.9164875859046325e+14 5.5401435361606029e-03 8.5499527963066080e-01
1.9167077922849441e+14 5.3998674298561542e-03 9.2646838085160399e-01
1.9169279986652553e+14 5.2635348225177764e-03 9.9866174900990334e-01
1.9171482050455669e+14 5.1312560840926771e-03 1.0715865735618901e+00
1.9173684114258781e+14 5.0031381678883689e-03 1.1452510849995481e+00
1.9175886178061897e+14 4.8792837735866460e-03 1.2196600408249194e+00
1.9178088241865009e+14 4.7597904074023912e-03 1.2948141866633160e+00
1.9180290305668125e+14 4.6447493399161795e-03 1.3707097029954591e+00
1.9182492369471241e+14 4.5342444659425421e-03 1.4473376511525862e+00
1.9184694433274353e+14 4.4283510754119055e-03 1.5246834354845074e+00
1.9186896497077469e+14 4.3271345496997543e-03 1.6027263017414100e+00
1.9189098560880581e+14 4.2306490038228626e-03 1.6814388944482239e+00
1.9191300624683697e+14 4.1389359013385757e-03 1.7607868980474666e+00
1.9193502688486809e+14 4.0520226751771787e-03 1.8407287874642440e+00
1.9195704752289925e+14 3.9699213935842767e-03 1.9212157131951260e+00
1.9197906816093038e+14 3.8926275153140597e-03 2.0021915436529949e+00
1.9200108879896153e+14 3.8201187815419388e-03 2.0835930832233136e+00
1.9202310943699266e+14 3.7523542932119095e-03 2.1653504781610353e+00
1.9204513007502381e+14 3.6892738210365780e-03 2.2473878143758967e+00
1.9206715071305494e+14 3.6307973909763800e-03 2.3296239016431390e+00
1.9208917135108609e+14 3.5768251805472101e-03 2.4119732285568305e+00
1.9211119198911725e+14 3.5272377509964711e-03 2.4943470623849877e+00
1.9213321262714838e+14 3.4818966277390816e-03 2.5766546588508907e+00
1.9215523326517953e+14 3.4406452273124566e-03 2.6588045396195032e+00
1.9217725390321066e+14 3.4033101143900969e-03 2.7407057906589025e+00
1.9219927454124181e+14 3.3697025583283515e-03 2.8222693332028772e+00
1.9222129517927294e+14 3.3396203462718850e-03 2.9034091208679258e+00
1.9224331581730409e+14 3.3128498000455030e-03 2.9840432214092742e+00
1.9226533645533522e+14 3.2891679374713579e-03 3.0640947491223005e+00
1.9228735709336638e+14 3.2683447158003195e-03 3.1434926231791707e+00
1.9230937773139750e+14 3.2501452955360738e-03 3.2221721374099097e+00
1.9233139836942866e+14 3.2343322667842357e-03 3.3000753372116893e+00
1.9235341900745981e+14 3.2206677867649127e-03 3.3771512086300972e+00
1.9237543964549094e+14 3.2089155855043253e-03 3.4533556925690685e+00
1.9239746028352209e+14 3.1988428062613068e-03 3.5286515431525332e+00
1.9241948092155322e+14 3.1902216570901575e-03 3.6030080533404716e+00
1.9244150155958438e+14 3.1828308594477580e-03 3.6764006730101593e+00
1.9246352219761550e+14 3.1764568884438539e-03 3.7488105451167124e+00
1.9248554283564666e+14 3.1708950068390662e-03 3.8202239845037229e+00
1.9250756347367778e+14 3.1659501009143457e-03 3.8906319218278345e+00
1.9252958411170894e+14 3.1614373310658076e-03 3.9600293322894977e+00
1.9255160474974006e+14 3.1571826131563552e-03 4.0284146656808737e+00
1.9257362538777122e+14 3.1530229486950922e-03 4.0957892910203872e+00
1.9259564602580238e+14 3.1488066228360740e-03 4.1621569659029216e+00
