["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9343243027098575e+14 3.5642053924493149e-02 -1.8442875026236958e+00
1.9345445090901691e+14 3.5606751168741117e-02 -1.8311495851739124e+00
1.9347647154704803e+14 3.5571548499991779e-02 -1.8180135276201390e+00
1.9349849218507919e+14 3.5536445460149696e-02 -1.8048794283979404e+00
1.9352051282311031e+14 3.5501441551509659e-02 -1.7917473869794336e+00
1.9354253346114147e+14 3.5466536237677329e-02 -1.7786175038537178e+00
1.9356455409917259e+14 3.5431728944499398e-02 -1.7654898805067287e+00
1.9358657473720375e+14 3.5397019061017020e-02 -1.7523646194006670e+00
1.9360859537523488e+14 3.5362405940427617e-02 -1.7392418239530223e+00
1.9363061601326603e+14 3.5327888901076285e-02 -1.7261215985147018e+00
1.9365263665129719e+14 3.5293467227449950e-02 -1.7130040483482751e+00
1.9367465728932831e+14 3.5259140171201693e-02 -1.6998892796051459e+00
1.9369667792735947e+14 3.5224906952175748e-02 -1.6867773993026383e+00
1.9371869856539059e+14 3.5190766759462692e-02 -1.6736685153004303e+00
1.9374071920342175e+14 3.5156718752458987e-02 -1.6605627362765769e+00
1.9376273984145288e+14 3.5122762061947789e-02 -1.6474601717030202e+00
1.9378476047948403e+14 3.5088895791186445e-02 -1.6343609318206325e+00
1.9380678111751516e+14 3.5055119017021207e-02 -1.6212651276140837e+00
1.9382880175554631e+14 3.5021430790999765e-02 -1.6081728707855674e+00
1.9385082239357744e+14 3.4987830140509359e-02 -1.5950842737290221e+00
1.9387284303160859e+14 3.4954316069919514e-02 -1.5819994495030518e+00
1.9389486366963975e+14 3.4920887561742046e-02 -1.5689185118040050e+00
1.9391688430767088e+14 3.4887543577801015e-02 -1.5558415749384253e+00
1.9393890494570203e+14 3.4854283060413868e-02 -1.5427687537947845e+00
1.9396092558373316e+14 3.4821104933582411e-02 -1.5297001638155017e+00
1.9398294622176431e+14 3.4788008104200005e-02 -1.5166359209677240e+00
1.9400496685979544e+14 3.4754991463258812e-02 -1.5035761417143954e+00
1.9402698749782659e+14 3.4722053887078774e-02 -1.4905209429845345e+00
1.9404900813585772e+14 3.4689194238530389e-02 -1.4774704421432105e+00
1.9407102877388888e+14 3.4656411368282826e-02 -1.4644247569610871e+00
1.9409304941192000e+14 3.4623704116049203e-02 -1.4513840055838012e+00
1.9411507004995116e+14 3.4591071311838063e-02 -1.4383483065006286e+00
1.9413709068798231e+14 3.4558511777222314e-02 -1.4253177785130728e+00
1.9415911132601344e+14 3.4526024326603129e-02 -1.4122925407027964e+00
1.9418113196404459e+14 3.4493607768487963e-02 -1.3992727123995066e+00
1.9420315260207572e+14 3.4461260906767613e-02 -1.3862584131482463e+00
1.9422517324010688e+14 3.4428982542001996e-02 -1.3732497626764106e+00
1.9424719387813800e+14 3.4396771472708886e-02 -1.3602468808603541e+00
1.9426921451616916e+14 3.4364626496658481e-02 -1.3472498876918741e+00
1.9429123515420028e+14 3.4332546412165002e-02 -1.3342589032439847e+00
1.9431325579223144e+14 3.4300530019387279e-02 -1.3212740476365912e+00
1.9433527643026256e+14 3.4268576121626995e-02 -1.3082954410019996e+00
1.9435729706829372e+14 3.4236683526632922e-02 -1.2953232034495374e+00
1.9437931770632484e+14 3.4204851047894183e-02 -1.2823574550306243e+00
1.9440133834435600e+14 3.4173077505950521e-02 -1.2693983157025870e+00
1.9442335898238716e+14 3.4141361729691802e-02 -1.2564459052932495e+00
1.9444537962041828e+14 3.4109702557647344e-02 -1.2435003434641565e+00
